filer_ein,filer_name,receipt_amt,govt_amt,contrib_amt,tax_year,xml_name
202697763,EL AMOR DE PATRICIA,974314,0,588382,2022,202402749349300200
363832212,Boys & Girls Club of Elgin Inc,9408440,4617668,4151239,2022,202412719349301811
330617690,Pentecostal Missionary CHURCH of CHRIST (4th Watch),4153769,0,4153769,2022,202412889349301751
831205784,COMMUNITY CAPACITY DEVELOPMENT INC,3575228,3491670,83558,2022,202422969349300532
582352811,RUSSELL COUNTY CHILD ADVOCACY CTR,446282,330520,79560,2022,202412759349300626
742124386,HOWARD COUNTY FAIR ASSOCIATION,618547,0,266025,2022,202402839349300715
931071248,CENTER FOR FAMILY DEVELOPMENT,8933771,919071,0,2022,202422889349301117
640646841,TUPELO LEE HUMANE SOCIETY,1337260,127745,416290,2022,202412899349301796
341837854,NEW BREMEN FOUNDATION INC,4472769,0,849839,2022,202432899349302493
260014803,Songfest Inc,1065949,0,797680,2022,202422959349300517
570793960,CENTRAL CAROLINA COMMUNITY,32267382,0,26767305,2022,202402929349300735
314381778,PICKAWAY COUNTY AGRICULTURAL SOCIETY INC,1105642,301308,4001,2022,202402909349300200
204615896,THE NIGHT'S SHIELD,727426,623330,87619,2022,202422959349300217
475010246,LATINO FILM INSTITUTE,4722540,225000,957686,2022,202442959349301439
042103979,CATHOLIC CHARITIES OF THE DIOCESE OF,13046384,3787067,1598771,2022,202402979349301465
274661034,Kids are First Inc,9902032,9702766,199266,2022,202412899349302376
942838340,RIDGE HOUSE INC,1838924,1496691,124740,2022,202402789349301020
581370581,TRI-COUNTY CENTER,5114941,4377723,35416,2022,202412749349300146
731131158,NORTHWEST DOMESTIC CRISIS SERVICES,1876673,1772315,48611,2022,202412779349300516
251128155,PENN-MONT ACADEMY INC,2588266,383187,105424,2022,202422899349300947
364193052,CHICAGO HISP HEALTH COALITION - UIC,897902,0,867890,2022,202402909349301650
952783139,ACTORS AND OTHERS FOR ANIMALS,872522,136346,584325,2022,202422859349302052
751459817,AMARILLO MONTESSORI ACADEMY,2148969,465401,0,2022,202402849349300940
274355891,Good Neighbors of Central Ohio,302578,0,302577,2022,202422899349302252
046112461,The Alden Kindred of America Inc,577861,0,369912,2022,202412849349301401
611033691,LEWIS COUNTY PRIMARY CARE CENTER INC,85005084,9369772,29274,2022,202432789349300713
710898124,Help Me Help You,1143098,0,1113861,2022,202442759349300604
261410513,GROW BROOKLYN INC,1516335,1314294,196020,2022,202422759349301307
273087079,KHMER GIRLS IN ACTION,3531626,0,3499935,2022,202412839349301876
464203790,KEREN HASHVIIS INC,2107697,0,1544433,2022,202432899349301588
562518139,ALMA DOMESTIC VIOLENCE FOUNDATION INC,335143,157713,154757,2022,202422819349300402
591542539,THE PALM BEACH SYMPHONY SOCIETY INC,4142192,0,2126642,2022,202402899349301980
593119396,UNIVERSAL ACADEMY OF FLORIDA INC,9955574,0,2204290,2022,202402749349301630
852617805,TULSA MUSIC INCUBATOR INC,448931,0,448449,2022,202412789349301851
237066134,WILLIAMSBURG JAMES CITY COUNTY,3203336,2217237,986082,2022,202442839349300214
