# Non-state 'UNIVERSITY OF ...' patterns (8,646 entries)
# Sorted by total donation amount (descending)
# Format: NAME	COUNT	TOTAL_DONATIONS

ORIENTAL INSTITUTE OF THE UNIVERSITY OF CHICAGO	6	31134050.0
UNIVERSITY OF WEST GEORGIA	188	30989112.0
UNIVERSITY OF GHANA	64	30984250.0
UNIVERSITY OF PORTLAND	480	30847840.0
UNIVERSITY OF MIAMI ADVANCEMENT	16	30480516.0
UNIVERSITY OF PITTSBURGH CANCER INSTITUTE	56	30169546.0
UNIVERSITY OF MIAMI - MIAMI PROJECT TO CURE PARALYSIS	10	29849338.0
UNIVERSITY OF NORTHERN IOWA FOUNDATION	392	29720472.0
UNIVERSITY OF THE PEOPLE	74	29685722.0
UNIVERSITY OF HOUSTON FOUNDATION	298	29550802.0
UNIVERSITY OF DUBUQUE	286	28857708.0
UNIVERSITY OF PUGET SOUND	658	28337260.0
UNIVERSITY OF HOUSTON - HOUSTON PUBLIC MEDIA	2	27950220.0
UNIVERSITY OF EDINBURGH THE	16	27691018.0
The University of the Arts	6	27564016.0
UNIVERSITY OF MIAMI MILLER SCHOOL OF MEDICINE	94	27465452.0
UNIVERSITY OF DETROIT MERCY	428	27407750.0
UNIVERSITY OF HOUSTON - HOUSTON PUBLIC MEDIA DIV	2	27396564.0
UNIVERSITY OF THE OZARKS	162	27330220.0
REGENTS OF THE UNIVERSITY OF SAN FRANCISCO	2	27200000.0
University of the Arts	12	27175000.0
UNIVERSITY OF KS MEDICAL CENTER	2	26986632.0
The University of Chicago	178	26921908.0
UNIVERSITY OF NC ESHELMAN SCH OF PHARMACY	10	26921302.0
UNIVERSITY OF MARY	234	26902696.0
UNIVERSITY OF CHATTANOOGA FOUNDATION INC	158	26665728.0
UNIVERSITY OF LOUISVILLE HOSPITAL	6	25675098.0
University of Rochester Medical Center	22	24803020.0
CHARLES DREW UNIVERSITY OF MEDICINE & SCIENCE	66	24690450.0
UNIVERSITY OF HOUSTON - HOUSTON PUBLIC MEDI	2	24577230.0
UNIVERSITY OF HARTFORD	684	24237180.0
UNIVERSITY OF BIRMINGHAM THE	8	23631816.0
CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD	42	22830014.0
UNIVERSITY OF NORTH ALABAMA	166	22432672.0
UNIVERSITY OF SOUTHERN INDIANA	316	22408826.0
UNIVERSITY OF CHICAGO MEDICAL CENTER	154	21983042.0
DUQUESNE UNIVERSITY OF THE HOLY SPIRIT	280	21951450.0
University of Louisville	60	21945088.0
University of New Orleans	36	21598330.0
UNIVERSITY OF EXETER	58	21557566.0
UNIVERSITY OF CHARLESTON	326	21535170.0
University Of Notre Dame Du Lac	20	21468776.0
PACIFIC NORTHWEST UNIVERSITY OF HEALTH SCIENCES	50	21325036.0
FRANCISCAN UNIVERSITY OF STEUBENVILLE	352	21030102.0
UNIVERSITY OF THE WITWATERSRAND	76	20994750.0
UNIVERSITY OF THE SOUTH	530	20948108.0
STATE UNIVERSITY OF NY AT FREDONIA	10	20774082.0
UNIVERSITY OF AUSTIN	42	20649744.0
UNIVERSITY OF PITTSBURGH AT BRADFORD	38	20474460.0
GOVERNING COUNCIL OF THE UNIVERSITY OF TORONTO	60	20286042.0
UNIVERSITY OF PUERTO RICO	132	20227272.0
UNIVERSITY OF NORTH GEORGIA	154	20115472.0
UNIVERSITY OF GREENWICH	20	20097354.0
CALIFORNIA UNIVERSITY OF SCIENCE ME	4	20006000.0
CALIFORNIA UNIVERSITY OF SCI & MED	2	20000000.0
THE UNIVERSITY OF TOLEDO	56	19997108.0
UNIVERSITY OF THE VI	6	19987596.0
UNIVERSITY OF BATH	18	19944788.0
TRUSTEES OF THE UNIVERSITY OF PA	164	19308806.0
Regents of the University of Califo	14	19186780.0
UNIVERSITY OF SOUTH FLORIDA FOUNDATION INC	360	19011350.0
THE UNIVERSITY OF EDINBURGH	40	18885154.0
HEBREW UNIVERSITY OF JERUSALEM	92	18867044.0
UNIVERSITY OF PENNSYLVANNIA	12	18746750.0
University of Hawai'i Foundation	44	18687000.0
SOUTHERN METHODIST UNIVERSITY OFFICE OF DEVELOPMENT	10	18092000.0
University Of Pittsburgh	50	17574062.0
UNIVERSITY OF BRISTOL	32	17546676.0
UNIVERSITY OF OK FOUNDATION	44	17520884.0
University of Tulsa	118	17496902.0
THE REGENTS OF THE UNIVERSITY OF CA	118	16926078.0
UNIVERSITY OF GLASGOW COURT	18	16619312.0
UNIVERSITY OF BIRMINGHAM	40	16560712.0
METROPOLITAN STATE UNIVERSITY OF DENVER FOUNDATION INC	88	16493112.0
